AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
LYC;Lycksele;SE;Sweden;Ýsveç;LYC;Lycksele;NULL;NULL;NULL;0;1
LYE;Raf Station;GB;United Kingdom;Ýngiltere;LYE;Lyneham;NULL;NULL;NULL;0;1
LYG;Lianyungang;CN;China -Excl Hong Kong Sar-;Çin;LYG;Lianyungang;NULL;NULL;NULL;0;1
LYH;Preston Glenn;US;United States Of America;Amerika;LYH;Lynchburg;NULL;VA;Virginia;0;1
LYI;Linyi;CN;China -Excl Hong Kong Sar-;Çin;LYI;Linyi;NULL;NULL;NULL;0;1
LYK;Lunyuk;ID;Indonesia;Endonezya;LYK;Lunyuk;NULL;NULL;NULL;0;1
LYN;Bron;FR;France;Fransa;LYS;Lyon;Liyon;NULL;NULL;300;1
LYO;Rice County Mncpl;US;United States Of America;Amerika;LYO;Lyons;NULL;KS;Kansas;0;1
LYP;Faisalabad;PK;Pakistan;Pakistan;LYP;Faisalabad;NULL;NULL;NULL;0;1
LYR;Svalbard;NO;Norway;Norveç;LYR;Longyearbyen;NULL;NULL;NULL;0;1
LYS;Saint Exupery;FR;France;Fransa;LYS;Lyon;Liyon;NULL;NULL;300;1
LYT;Lady Elliot Islan;AU;Australia;Avustralya;LYT;Lady Elliot Islan;NULL;QL;Queensland;0;1
LYU;Ely;US;United States Of America;Amerika;LYU;Ely;NULL;MN;Minnesota;0;1
LYX;London Ashford;GB;United Kingdom;Ýngiltere;LYX;Lydd;NULL;NULL;NULL;0;1
LZA;Luiza;CD;Congo The Democratic Rep Of;Kongo Demokratik Cumhuriyeti;LZA;Luiza;NULL;NULL;NULL;0;1
LZC;Lazaro Cardenas;MX;Mexico;Meksika;LZC;Lazaro Cardenas;NULL;NULL;NULL;0;1
LZD;Lanzhoudong;CN;China -Excl Hong Kong Sar-;Çin;LHW;Lanzhou;NULL;NULL;NULL;0;1
LZH;Liuzhou;CN;China -Excl Hong Kong Sar-;Çin;LZH;Liuzhou;NULL;NULL;NULL;0;1
LZI;Luozi;CD;Congo The Democratic Rep Of;Kongo Demokratik Cumhuriyeti;LZI;Luozi;NULL;NULL;NULL;0;1
LZM;Luzamba;AO;Angola;Angola;LZM;Luzamba;NULL;NULL;NULL;0;1
LZN;Nangan;CN;China -Excl Hong Kong Sar-;Çin;LZN;Nangan;NULL;NULL;NULL;0;1
LZO;Luzhou;CN;China -Excl Hong Kong Sar-;Çin;LZO;Luzhou;NULL;NULL;NULL;0;1
